SDFB Person ID,Display Name,Gender,Historical Significance,Extant Birth Year,Extant Death Year,,,
10009281,Samuel Palmer,male,printer and historian of printing,1692,1732,,,
10005033,George Goring,male,royalist army officer,1608,1657,,,
10005008,Jean Gordon,male,noblewoman,1546,1629,,,
10005959,Richard Hill,male,diplomat and public servant,1655,1727,,,
10000031,Roger Acherley,male,political writer and lawyer,1662,1740,,,
10011034,Thomas Sherlock,male,bishop of London,1677,1761,,,
10000112,William Alexander,male,poet and politician,1577,1640,,,
10010297,Lancelot Ridley,male,Church of England clergyman,1466,1576,,,
10006631,Charles Johnson,male,playwright and poet,1679,1748,,,
10002354,Sarah Cheevers,female,Quaker missionary,1608,1664,,,
10005496,Sir Thomas Hanmer,male,speaker of the House of Commons,1677,1746,,,
10006434,Sir Richard Hutton,male,judge,1561,1639,,,
10004036,Katharine Evans,female,Quaker missionary,1618,1692,,,
10003943,Sir William Ellis,male,Jacobite politician,1641,1732,,,
10012337,Antonio Verrio,male,decorative painter,1639,1707,,,
10003085,John Crouch,male,writer and bookseller,1615,1680,,,
10001092,William Birnie,male,Church of Scotland minister,1563,1619,,,
10010028,Thomas Pyle,male,Church of England clergyman and religious controversialist,1674,1756,,,
10003114,John Culpeper,male,rebel leader in Carolina,1644,1691,,,
10010162,John Reading,male,Church of England clergyman and religious controversialist,1587,1667,,,
10007160,Marcellus Laroon the elder,male,painter,1648,1702,,,
10006683,Griffith Jones,male,Church of England clergyman and educational reformer,1684,1761,,,
10002355,Sir John Cheisly of Cresswell,male,politician,1567,1677,,,
10000739,Edward Barton,male,diplomat,1562,1598,,,
10002060,John Carew,male,politician and regicide,1622,1660,,,
10009036,Patrick O'Healy,male,Roman Catholic bishop of Mayo and martyr,1469,1579,,,
10006833,Gilbert Kennedy,male,magnate,1517,1558,,,
10010843,Francis Seager,male,translator and poet,1549,1563,,,
10000492,Sir Henry Bagenal,male,soldier,1556,1598,,,
10012801,Samuel White,male,official in the Siamese service and pirate,1650,1689,,,
10007185,Thomas Laurence,male,college head,1597,1657,,,
10008413,Hugh Montgomery,male,nobleman,1626,1663,,,
10003968,Edmund Elys,male,nonjuring Church of England clergyman and writer,1633,1708,,,
10007761,Angus MacDonald of Dunyvaig and the Glens,male,chief of clan Iain Mh&ograve,IN,IN,[],,
10012407,Sir Joseph Wagstaffe,male,royalist army officer,1611,1666,,,
10012372,Richard Vines,male,Church of England clergyman,1599,1656,,,
10005310,Alexander Guthrie,male,civic administrator and religious activist,1472,1582,,,
10002061,Martha Carew,female,recusant,1500,1572,,,
10012274,John Vaus,male,grammarian,1484,1539,,,
10000768,Mary Bassett,female,translator,1462,1572,,,
10006043,John Hoker,male,author,1525,1543,,,
10004748,Allan Geare,male,clergyman and ejected minister,1622,1662,,,
10002224,Michael Cavendish,male,composer and courtier,1565,1628,,,
10008150,John Mayow,male,physiologist and chemist,1641,1679,,,
10001226,Hector Boece,male,historian and college head,1465,1536,,,
10009601,Robert Peterson,male,translator,1562,1606,,,
10009038,Dermot O'Hurley,male,Roman Catholic archbishop of Cashel and martyr,1530,1584,,,
10006644,Maurice Johnson,male,antiquary and barrister,1688,1755,,,
10004049,Mary Evelyn,female,,1665,1685,,,
10001415,Michael Boyle,male,lord chancellor of Ireland and Church of Ireland archbishop of Armagh,1609,1702,,,
10003617,James Douglas,male,anatomist and man-midwife,1675,1742,,,
10002148,Christopher Cartwright,male,Church of England clergyman and religious controversialist,1602,1658,,,
10005433,Elizabeth Hamilton,female,courtier,1641,1708,,,
10008430,John Moore,male,Church of England clergyman and author,1509,1619,,,
10004366,George Fleetwood,male,army officer and regicide,1623,1664,,,
10005655,Thomas Hatcher,male,antiquary,1473,1583,,,
10007178,Sir John Lauder,male,judge and political commentator,1646,1722,,,
10004191,Elijah Fenton,male,poet,1683,1730,,,
10007762,Donald Dubh MacDonald,male,rebel,1435,1545,,,
10000139,Thomas Allen,male,clergyman and ejected minister,1608,1673,,,
10008416,Sir Robert Montgomery of Skelmorlie,male,property speculator and author in America,1680,1731,,,
10003858,John Eccles,male,composer,1668,1735,,,
10006950,Thomas Kingsmill,male,,1495,1605,,,
10006836,James Kennedy,male,Latin poet,1662,1686,,,
10003299,John Davenant,male,bishop of Salisbury,1572,1641,,,
10004670,Hannibal Gamon,male,Church of England clergyman,1582,1650,,,
10004675,Tobias Garbrand,male,physician and college head,1579,1689,,,
10009190,Alice Owen,female,philanthropist,1547,1613,,,
10006131,Jodocus Hondius,male,engraver and cartographer,1563,1612,,,
10008595,William Mucklow,male,religious writer,1630,1713,,,
10011228,Richard Smith,male,law officer and book collector,1590,1675,,,
10004672,William Gandy,male,portrait painter,1619,1729,,,
10006991,John Kite,male,archbishop of Armagh and bishop of Carlisle,1427,1537,,,
10011892,Maurice Thomson,male,merchant,1604,1676,,,
10002356,Henry Cheke,male,translator,1548,1586,,,
10009956,James Primrose,male,government official,1530,1640,,,
10010185,Assuerus Regemorter,male,physician,1615,1650,,,
10007933,Roger Manners,male,nobleman,1576,1612,,,
10005720,John Hay,male,politician,1626,1697,,,
10013224,John Yates,male,Church of England clergyman and philosopher,1547,1657,,,
10011493,John Starkey,male,politician in America,1697,1765,,,
10004048,Mary Evelyn,female,correspondent,1635,1709,,,
10000839,James Beaton,male,administrator and archbishop of St Andrews,1473,1539,,,
10007134,Sir William Langhorne,male,administrator in India,1634,1715,,,
